nom	id	theme	v25	v2026
<Carte>.AfficheZone	1000025800	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.AjouteCalque	1410091552	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.AjouteForme	1000025801	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.AjouteImage	1000025802	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.AjouteItinéraire	1000022420	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.AjouteMarqueur	1000022422	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.ChangeStyle	1000025797	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.DistanceItinéraire	1000022431	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.ExécuteJS	1000022384	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.FermePopup	1000025803	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.FinDéplacement	1000022437	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.IdentifiantGgl	1410091156	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.InfoPosition	1000022447	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.InfoXY	1000022448	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.LimiteZone	1000025804	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.ModifieForme	1000025805	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.ModifieImage	1000025818	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.ModifieMarqueur	1000022383	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.PopupAffichée	1000025819	gestion du champ Carte (syntaxe préfixée)	0	1
<Carte>.RécupèreImage	1000022462	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.RécupèreObjetJS	1000022385	gestion du champ Carte (syntaxe préfixée)	1	1
<Carte>.RécupèrePosition	1000022463	gestion du champ Carte (syntaxe préfixée)	1	1
